STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,AWND,DAPR,MDPR,PGTM,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN,TOBS
USC00280907,"BOONTON 1 SE, NJ US",40.89174,-74.39635,85.3,6/11/2023,,,,,0,0,0,,77,55,58
USC00280907,"BOONTON 1 SE, NJ US",40.89174,-74.39635,85.3,6/12/2023,,,,,0,0,0,,84,58,65
USC00280907,"BOONTON 1 SE, NJ US",40.89174,-74.39635,85.3,6/13/2023,,,,,0.44,0,0,,79,62,62
USC00280907,"BOONTON 1 SE, NJ US",40.89174,-74.39635,85.3,6/14/2023,,,,,0,0,0,,77,52,54
USC00280907,"BOONTON 1 SE, NJ US",40.89174,-74.39635,85.3,6/15/2023,,,,,0.34,0,0,,73,54,62
USC00280907,"BOONTON 1 SE, NJ US",40.89174,-74.39635,85.3,6/16/2023,,,,,0,0,0,,78,56,58
USC00280907,"BOONTON 1 SE, NJ US",40.89174,-74.39635,85.3,6/17/2023,,,,,0.4,0,0,,77,58,61
USC00280907,"BOONTON 1 SE, NJ US",40.89174,-74.39635,85.3,6/18/2023,,,,,0,0,0,,77,56,59
USC00280907,"BOONTON 1 SE, NJ US",40.89174,-74.39635,85.3,6/19/2023,,,,,0,0,0,,79,58,60
USC00280907,"BOONTON 1 SE, NJ US",40.89174,-74.39635,85.3,6/20/2023,,,,,0,0,0,,82,60,63
USC00280907,"BOONTON 1 SE, NJ US",40.89174,-74.39635,85.3,6/21/2023,,,,,0,0,0,,79,58,59
USC00280907,"BOONTON 1 SE, NJ US",40.89174,-74.39635,85.3,6/22/2023,,,,,0,0,0,,72,58,58
USC00280907,"BOONTON 1 SE, NJ US",40.89174,-74.39635,85.3,6/23/2023,,,,,0,0,0,,71,58,64
USC00280907,"BOONTON 1 SE, NJ US",40.89174,-74.39635,85.3,6/24/2023,,,,,0.86,0,0,,68,64,67
USC00280907,"BOONTON 1 SE, NJ US",40.89174,-74.39635,85.3,6/25/2023,,,,,0.62,0,0,,80,65,67
USC00280907,"BOONTON 1 SE, NJ US",40.89174,-74.39635,85.3,6/26/2023,,,,,0.8,0,0,,83,65,68
USC00280907,"BOONTON 1 SE, NJ US",40.89174,-74.39635,85.3,6/27/2023,,,,,3.49,0,0,,79,64,66
USC00280907,"BOONTON 1 SE, NJ US",40.89174,-74.39635,85.3,6/28/2023,,,,,1.01,0,0,,78,63,67
USC00280907,"BOONTON 1 SE, NJ US",40.89174,-74.39635,85.3,6/29/2023,,,,,0.01,0,0,,79,61,65
USC00280907,"BOONTON 1 SE, NJ US",40.89174,-74.39635,85.3,6/30/2023,,,,,0,0,0,,82,61,62
USC00280907,"BOONTON 1 SE, NJ US",40.89174,-74.39635,85.3,7/1/2023,,,,,0,0,0,,84,61,62
USC00280907,"BOONTON 1 SE, NJ US",40.89174,-74.39635,85.3,7/2/2023,,,,,0,0,0,,83,62,70
USC00280907,"BOONTON 1 SE, NJ US",40.89174,-74.39635,85.3,7/3/2023,,,,,0.8,0,0,,85,68,71
USC00280907,"BOONTON 1 SE, NJ US",40.89174,-74.39635,85.3,7/4/2023,,,,,0.2,0,0,,88,71,72
